Zeit;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;Dau10;Dau5;PDAU10;PDAU5
2019;01011101;01;01;11;01;1;3210;3312;1160;1811;36,1;54,7
2019;01011102;01;01;11;02;1;182;182;85;119;46,7;65,4
2019;01011103;01;01;11;03;1;4755;4943;1794;2869;37,7;58,0
2019;01011104;01;01;11;04;1;4201;4418;1396;2610;33,2;59,1
2019;01011105;01;01;11;05;1;1429;1491;262;601;18,3;40,3
2019;01011201;01;01;12;01;1;2253;2352;1006;1396;44,7;59,4
2019;01011202;01;01;12;02;1;603;625;174;287;28,9;45,9
2019;01011203;01;01;12;03;1;1070;1120;347;616;32,4;55,0
2019;01011204;01;01;12;04;1;7755;8016;2691;4097;34,7;51,1
2019;01011301;01;01;13;01;1;6255;6514;1546;3093;24,7;47,5
2019;01011302;01;01;13;02;1;11404;11936;4601;7295;40,3;61,1
2019;01011303;01;01;13;03;1;9278;9599;3436;5222;37,0;54,4
2019;01011304;01;01;13;04;1;8071;8421;4292;5747;53,2;68,2
2019;01011305;01;01;13;05;1;8082;8362;2997;4800;37,1;57,4
2019;01011306;01;01;13;06;1;9897;10284;3500;5716;35,4;55,6
2019;01011401;01;01;14;01;1;16242;17112;4873;8632;30,0;50,4
2019;01011402;01;01;14;02;1;12095;12802;3992;7285;33,0;56,9
2019;01022101;01;02;21;01;1;3210;3348;988;1735;30,8;51,8
2019;01022102;01;02;21;02;1;6263;6501;2083;3451;33,3;53,1
2019;01022103;01;02;21;03;1;248;270;83;163;33,5;60,4
2019;01022104;01;02;21;04;1;17305;17970;6751;10368;39,0;57,7
2019;01022105;01;02;21;05;1;4875;5097;1832;2844;37,6;55,8
2019;01022106;01;02;21;06;1;10598;10981;4985;7264;47,0;66,2
2019;01022201;01;02;22;01;1;10043;10488;3731;6004;37,2;57,2
2019;01022202;01;02;22;02;1;3171;3318;723;1040;22,8;31,3
2019;01022203;01;02;22;03;1;6389;6742;2985;4366;46,7;64,8
2019;01022204;01;02;22;04;1;5577;5802;2367;3605;42,4;62,1
2019;01022205;01;02;22;05;1;2902;3107;1414;2093;48,7;67,4
2019;01022206;01;02;22;06;1;2820;2942;1278;1860;45,3;63,2
2019;01022207;01;02;22;07;1;5507;5653;2374;3307;43,1;58,5
2019;01033101;01;03;31;01;1;23828;25309;8726;15076;36,6;59,6
2019;01033102;01;03;31;02;1;10618;11230;4443;7115;41,8;63,4
2019;01033201;01;03;32;01;1;12425;13316;6120;8823;49,3;66,3
2019;01033202;01;03;32;02;1;9377;9937;4488;6461;47,9;65,0
2019;01033203;01;03;32;03;1;13130;13868;5080;8253;38,7;59,5
2019;01044101;01;04;41;01;1;19188;19938;8202;12625;42,7;63,3
2019;01044102;01;04;41;02;1;15109;15776;6433;10180;42,6;64,5
2019;01044103;01;04;41;03;1;8094;8418;2917;4717;36,0;56,0
2019;01044201;01;04;42;01;1;21640;22803;8557;14023;39,5;61,5
2019;01044202;01;04;42;02;1;15760;16377;5217;8869;33,1;54,2
2019;01044203;01;04;42;03;1;14659;15309;5493;9249;37,5;60,4
2019;02010101;02;01;01;01;1;5854;6162;2218;3553;37,9;57,7
2019;02010102;02;01;01;02;1;12243;12996;5662;8565;46,2;65,9
2019;02010103;02;01;01;03;1;13551;14354;7473;10565;55,1;73,6
2019;02010104;02;01;01;04;1;4601;4843;2419;3445;52,6;71,1
2019;02020201;02;02;02;01;1;1568;1698;115;173;7,3;10,2
2019;02020202;02;02;02;02;1;5427;5726;2290;3480;42,2;60,8
2019;02020203;02;02;02;03;1;9875;10349;4148;6555;42,0;63,3
2019;02020204;02;02;02;04;1;11492;12016;4854;7249;42,2;60,3
2019;02020205;02;02;02;05;1;13890;14443;6555;9522;47,2;65,9
2019;02020206;02;02;02;06;1;17060;17929;7570;11755;44,4;65,6
2019;02030301;02;03;03;01;1;8209;8541;4365;6076;53,2;71,1
2019;02030302;02;03;03;02;1;11922;12494;5923;8527;49,7;68,2
2019;02030401;02;03;04;01;1;13823;14475;6067;9183;43,9;63,4
2019;02030402;02;03;04;02;1;10061;10456;4683;6770;46,5;64,7
