id;neighborhood
01011101;Stülerstraße
01011102;Großer Tiergarten
01011103;Lützowstraße
01011104;Körnerstraße
01011105;Nördlicher Landwehrkanal
01011201;Wilhelmstraße
01011202;Unter den Linden Nord
01011203;Unter den Linden Süd
01011204;Leipziger Straße
01011301;Charitéviertel
01011302;Oranienburger Straße
01011303;Alexanderplatzviertel
01011304;Karl-Marx-Allee
01011305;Heine-Viertel West
01011306;Heine-Viertel Ost
01011401;Invalidenstraße
01011402;Arkonaplatz
01022101;Huttenkiez
01022102;Beusselkiez
01022103;Westhafen
01022104;Emdener Straße
01022105;Zwinglistraße
01022106;Elberfelder Straße
01022201;Stephankiez
01022202;Heidestraße
01022203;Lübecker Straße
01022204;Thomasiusstraße
01022205;Zillesiedlung
01022206;Lüneburger Straße
01022207;Hansaviertel
01033101;Soldiner Straße
01033102;Gesundbrunnen
01033201;Brunnenstraße
01033202;Humboldthain Süd
01033203;Humboldthain Nordwest
01044101;Rehberge
01044102;Schillerpark
01044103;Westliche Müllerstraße
01044201;Reinickendorfer Straße
01044202;Sparrplatz
01044203;Leopoldplatz
02010101;Askanischer Platz
02010102;Mehringplatz
02010103;Moritzplatz
02010104;Wassertorplatz
02020201;Gleisdreieck/Entwicklungsgebiet
02020202;Rathaus Yorckstraße
02020203;Viktoriapark
02020204;Urbanstraße
02020205;Chamissokiez
02020206;Graefekiez
02030301;Oranienplatz
02030302;Lausitzer Platz
02030401;Reichenberger Straße
02030402;Wrangelkiez
02040501;Barnimkiez
02040502;Friedenstraße
02040503;Richard-Sorge-Viertel
02040701;Andreasviertel
02040702;Weberwiese
02040703;Wriezener Bahnhof/Entwicklungsgebiet
02050601;Hausburgviertel
02050602;Samariterviertel
02050801;Traveplatz
02050802;Boxhagener Platz
02050803;Stralauer Kiez
02050804;Stralauer Halbinsel
03010101;Bucher Forst
03010102;Buch
03010104;Lietzengraben
03020203;Blankenfelde
03020209;Niederschönhausen
03020210;Herthaplatz
03020307;Buchholz
03030405;Karow Nord
03030406;Alt-Karow
03030711;Blankenburg
03030715;Heinersdorf
03030716;Märchenland
03040818;Pankow Süd
03040508;Rosenthal
03040512;Wilhelmsruh
03040513;Schönholz
03040614;Pankow Zentrum
03050919;Gustav-Adolf-Straße
03050920;Weißer See
03050923;Weißenseer Spitze
03050924;Behaimstraße
03050925;Komponistenviertel Weißensee
03051017;Rennbahnstraße
03051021;Buschallee
03051022;Hansastraße
03061126;Arnimplatz
03061131;Falkplatz
03061227;Humannplatz
03061228;Erich-Weinert-Straße
03061332;Helmholtzplatz
03061429;Greifswalder Straße
03061430;Volkspark Prenzlauer Berg
03061434;Anton-Saefkow-Park
03061435;Conrad-Blenkle-Straße
03061441;Eldenaer Straße
03071536;Teutoburger Platz
03071537;Kollwitzplatz
03071633;Thälmannpark
03071638;Winsstraße
03071639;Bötzowstraße
04010101;Jungfernheide
04010102;Plötzensee
04010103;Paul-Hertz-Siedlung
04020204;Olympiagelände
04020205;Siedlung Ruhleben
04020206;Angerburger Allee
04020207;Flatowallee
04020208;Kranzallee
04020209;Eichkamp
04020310;Park Ruhwald
04020311;Reichsstraße
04020312;Branitzer Platz
04020313;Königin-Elisabeth-Straße
04020314;Messegelände
04030415;Schloßgarten
04030416;Klausenerplatz
04030417;Schloßstraße (Charlottenburg)
04030518;Tegeler Weg
04030519;Kaiserin-Augusta-Allee
04030620;Alt-Lietzow
04030621;Spreestadt
04030622;Richard-Wagner-Straße
04030623;Ernst-Reuter-Platz
04030724;Lietzensee
04030725;Amtsgerichtsplatz
04030726;Droysenstraße
04030827;Karl-August-Platz
04030828;Savignyplatz
04030929;Hindemithplatz
04030930;George-Grosz-Platz
04030931;Breitscheidplatz
04031032;Halensee
04041133;Güterbahnhof Grunewald
04041134;Bismarckallee
04041135;Hundekehle
04041136;Hagenplatz
04041137;Flinsberger Platz
04041238;Kissinger Straße
04041239;Stadion Wilmersdorf
04041240;Messelpark
04041241;Breite Straße
04041342;Schlangenbader Straße
04041343;Binger Straße
04041344;Rüdesheimer Platz
04051445;Eisenzahnstraße
04051446;Preußenpark
04051447;Ludwigkirchplatz
04051448;Schaperstraße
04051549;Rathaus Wilmersdorf
04051550;Leon-Jessel-Platz
04051551;Brabanter Platz
04051652;Nikolsburger Platz
04051653;Prager Platz
04051654;Wilhelmsaue
04051655;Babelsberger Straße
04051656;Hildegardstraße
04061757;Forst Grunewald
05010101;Hakenfelde Nord
05010102;Goltzstraße
